Domain,Area,Element,Item,Year,Value
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1961,2.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1962,2.79
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1963,4.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1964,3.88
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1965,4
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1966,4.5
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1967,6.68
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1968,6.5
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1969,6.33
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1970,6.6
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1971,7.29
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1972,9.67
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1973,11.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1974,11.87
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1975,12.15
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1976,14.19
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1977,11.79
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1978,12.8
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1979,14.05
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1980,13.81
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1981,13.59
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1982,13.15
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1983,15.7
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1984,15.7
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1985,16.09
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1986,15.94
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1987,18.37
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1988,21.38
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1989,24.87
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1990,25.64
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1991,26.6
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1992,29.76
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1993,32.69
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1994,32.32
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1995,39.4
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1996,42.49
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1997,39.72
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1998,45.33
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),1999,46.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2000,40.01
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2001,42.17
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2002,40.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2003,39.57
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2004,40.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2005,35.61
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2006,34.93
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2007,36.04
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2008,34.26
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2009,30.89
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2010,37.81
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2011,34.26
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2012,35.15
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2013,38.66
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2014,43.48
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2015,41.49
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2016,48.53
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2017,48.07
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2018,45.08
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2019,43.26
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2020,43.15