Domain,Area,Element,Item,Year,Value
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1961,40.4
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1962,36.34
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1963,39.73
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1964,51.37
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1965,54.45
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1966,51.41
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1967,45.61
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1968,42.82
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1969,42.75
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1970,40.52
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1971,50.44
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1972,60.52
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1973,82.59
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1974,37.68
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1975,37.17
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1976,50.66
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1977,52.82
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1978,52.64
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1979,52.51
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1980,47.91
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1981,45.12
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1982,39.18
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1983,38.53
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1984,35.16
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1985,32.68
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1986,35.12
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1987,44.48
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1988,46.28
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1989,45.03
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1990,34.07
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1991,39.46
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1992,48.09
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1993,44.89
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1994,51.57
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1995,57.13
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1996,51.19
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1997,52.02
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1998,48.52
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),1999,45.73
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2000,46.97
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2001,48.82
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2002,44.81
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2003,43.27
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2004,42.83
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2005,38.96
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2006,40.39
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2007,42.09
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2008,33.86
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2009,23.52
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2010,31.72
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2011,27.44
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2012,27.62
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2013,26.65
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2014,28.11
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2015,29.56
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2016,31.21
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2017,31.54
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2018,30.5
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2019,30.97
Fertilizers indicators,Australia,Use per area of cropland,Nutrient phosphate P2O5 (total),2020,30.89